,Titre,Auteur,Summary
150,Le temps des regrets ,Mary Higgins Clark,"Delaney Wright est au sommet de sa carrière : couvrir le procès le plus sensationnel du moment vaut à cette jeune journaliste d'être promue au JT de 18 heures ! Le cas de Betsy Grant, accusée d'avoir tué son mari, un riche médecin, fascine le public. D'autant que si nombre d'indices accusent la veuve, celle-ci est prête à tout pour prouver son innocence. Y compris à refuser la négociation de peine que lui propose son avocat. Delaney, convaincue que Betsy n'est pas coupable, veut l'aider à tout prix. Mais, au moment où le procès commence, ses amis Alvirah et Willy Meehan lui révèlent un secret qui la bouleverse : l'identité de sa mère biologique, qu'elle ignorait jusqu'alors..."
151,Berezina ,Sylvain Tesson,"Des fulgurances littéraires sur fond d'histoire et d'autodérision, Sylvain Tesson signe un grand texte. Le lecteur, embarqué dans cette effraction du temps, enjambe les siècles, dans une épopée carnavalesque et réjouissante. En octobre 1812, littéralement piégé dans Moscou en flammes, Napoléon replie la Grande Armée vers la France. Commence la retraite de Russie, l'une des plus tragiques épopées de l'histoire humaine. La retraite est une course à la mort, une marche des fous, une échappée d'enfer. Deux cents ans plus tard, je décide de répéter l'itinéraire de l'armée agonisante, de ces cavaliers désarçonnés, de ces fantassins squelettiques, de ces hommes à plumets qui avaient préjugé de l'invincibilité de l'Aigle. Le géographe Cédric Gras, le photographe Thomas Goisque et deux amis russes, Vassili et Vitaly, sont de la partie. Pour l'aventure, nous enfourchons des side-cars soviétiques de marque Oural. Au long de quatre mille kilomètres, en plein hiver, nous allons dérouler le fil de la mémoire entre Moscou et Paris où l'Empereur arrivera le 15 XII 1812, laissant derrière lui son armée en lambeaux. Le jour, les mains luisantes de cambouis, nous lisons les Mémoires du général de Caulaincourt. Le soir, nous nous assommons de vodka pour éloigner les fantômes. Napoléon était-il un antéchrist qui précipita l'Europe dans l'abîme ou bien un visionnaire génial dont le seul tort fut de croire qu'il suffisait de vouloir pour triompher et que les contingences se pliaient toujours aux rêves ? Mais très vite, nous devons abandonner ces questions métaphysiques car un cylindre vient de rendre l'âme, la nuit tombe sur la Biélorussie et trois foutus camions polonais sont déjà en travers de la route."
152,L'absente ,Lionel Duroy, 
153,Sharko ,Franck Thilliez, 
154,Selfies ,Jussi Adler-Olsen, 
155,Ils vont tuer Robert Kennedy ,Marc Dugain,"À Vancouver, un professeur d’histoire contemporaine effectue des recherches sur le complot qui a conduit à l’assassinat de Robert Kennedy. Il est persuadé que la mort brutale de ses propres parents, en 1967 et 1968, est liée à celle du vainqueur de la primaire démocrate en juin 1968. Pourquoi son père entretenait-il des liens avec les services secrets britanniques? Qu’est-ce qui a convaincu Robert Kennedy, après l’assassinat de son frère John, de reprendre le flambeau pour l’élection présidentielle de 1968 sachant que cela le conduirait à une mort inévitable? Ces deux histoires intimement mêlées nous plongent dans les États-Unis des années soixante, marqués par la contre-culture et la violence politique."
156,Boussole ,Mathias Énard, 
157,Jeux de miroirs ,Eugen-Ovidiu Chirovici, 
158,Noir comme la mer ,Mary Higgins Clark,"La croisière promettait d'être sublime. Mais peu après avoir levé l'ancre, le luxueux Queen Charlotte est le théâtre d'un mystérieux assassinat : celui de lady Em, une riche octogénaire. Et son inestimable collier d'émeraudes, censé avoir appartenu à Cléopâtre, a disparu... Le coupable est à bord, sans aucun doute. Mais qui est-ce ? Son assistante apparemment dévouée ? Le jeune avocat qui voulait persuader lady Em de rendre le collier à l'égypte, son propriétaire légitime ? Ou Célia Kilbride, l'experte en pierres précieuses qui s'était liée avec la vieille dame ? La liste des suspects s'allonge au fur et à mesure que le Queen Charlotte fend les flots et que la croisière tourne au drame. Préparez-vous à embarquer avec une Mary Higgins Clark toujours aussi surprenante dans le rôle du commandant de bord pour une croisière dont vous ne reviendrez... peut-être pas."
159,Six ans déjà ,Harlan Coben,"Impuissant, Jake assiste au mariage de Natalie, la femme qu'il aime. Leur histoire est bien finie, et elle lui fait promettre de ne plus jamais la contacter. Ni d'essayer de la voir. Jake tiendra parole, pendant six ans. Jusqu'à ce qu'il tombe sur la notice nécrologique de Todd Sanderson, le mari de Natalie. Du moins, semblait-il. Car aux funérailles, la veuve se révèle être une parfaite inconnue. Alors, où est Natalie ? Pourquoi lui aurait-elle menti ? Déterminé à la retrouver, Jake va devenir la proie d'une machination meurtrière. Et découvrir qu'en amour, il est des vérités qui tuent..."
160,Promesse ,Jussi Adler-Olsen, 
161,Et si tu n'existais pas ,Claire Gallois, 
162,Le collier rouge ,Jean-Christophe Rufin,"Dans une petite ville du Berry, écrasée par la chaleur de l'été, en 1919, un héros de la guerre est retenu prisonnier au fond d'une caserne déserte. Devant la porte, son chien tout cabossé aboie jour et nuit. Non loin de là, dans la campagne, une jeune femme usée par le travail de la terre, trop instruite cependant pour être une simple paysanne, attend et espère. Le juge qui arrive pour démêler cette affaire est un aristocrate dont la guerre a fait vaciller les principes. Trois personnages et, au milieu d'eux, un chien, qui détient la clef du drame... Plein de poésie et de vie, ce court récit, d'une fulgurante simplicité, est aussi un grand roman sur la fidélité. Être loyal à ses amis, se battre pour ceux qu'on aime, est une qualité que nous partageons avec les bêtes. Le propre de l'être humain n'est-il pas d'aller au-delà et de pouvoir aussi reconnaître le frère en celui qui vous combat ?"
163,L'insoumis ,John Grisham, 
164,"Minute, papillon ! ",Aurélie Valognes,"Rose, 36 ans, mère célibataire, est une femme dévouée qui a toujours fait passer les besoins des autres avant les siens. Après avoir perdu son père et son emploi, la jeune femme apprend que Baptiste, son fils unique de 18 ans, quitte la maison. Son monde s'effondre. Cette ex-nounou d'enfer est alors contrainte d'accepter de travailler comme dame de compagnie pour une vieille dame riche et toquée, Colette, et son insupportable fille, la despotique Véronique. Et si, contre toute attente, cette rencontre atypique allait changer sa vie ?"
165,Sans même un adieu ,Robert Goddard,"On ne sait jamais ce que le passé nous réserve. Le nouveau roman bouleversant du maître du suspense anglais 1911, Geoffrey Staddon, jeune architecte plein d'élans et d'espoir, vient de concevoir une magnifique demeure, Clouds Frome. Et il est tombé amoureux fou de la femme de son commanditaire, Consuela Caswell, une jeune Brésilienne perdue dans un mariage de convenance. Alors qu'il lui a promis de s'enfuir avec elle, il l' abandonne à son triste sort, préférant se consacrer pleinement à ses ambitions professionnelles. 1923, en lisant le journal, Geoffrey tombe sur un article qui lui glace le sang. Consuela Caswell est accusée de meurtre et risque la peine capitale. Bouleversé par cette nouvelle qui réveille bien des fantômes et ravive son sentiment de culpabilité, il ne peut rester sans rien faire. D'autant plus qu'il est persuadé que Consuela n'a pas pu commettre un crime aussi terrible. Il n'a pas le choix, il doit r evenir à Clouds Frome pour savoir ce qu'il s'y est réellement passé. Il ne se doute pas encore des sombres secrets qu'il va y découvrir et qui vont bouleverser son existence. Dans une forme éblouissante, Robert Goddard revient ici à sa période de prédilection, le début du xxe siècle, à ses thèmes favoris, l' Histoire, les non-dits, les secrets de famille, et nous offre un roman formidable, aux multiples révélations."
166,La mariée était en blanc ,Mary Higgins Clark, 
167,Un certain M. Piekielny ,François-Henri Désérable, 
168,Tout n'est pas perdu ,Wendy Walker, 
169,Le grand marin ,Catherine Poulain, 
170,Une main encombrante ,Henning Mankell, 
171,La fin de l'histoire ,Luis Sepúlveda,"Juan Belmonte a déposé les armes depuis des années, il vit en Patagonie près de la mer avec sa compagne, Verónica, qui ne s'est pas encore complètement relevée des tortures qu'elle a subies sous la dictature de Pinochet. Mais les services secrets russes qui connaissent ses talents de guérillero et de sniper vont le forcer à leur prêter main forte. À l'autre bout du monde, un groupe de cosaques nostalgiques a décidé de libérer le descendant du dernier ataman, Miguel Krassnoff. Fils des cosaques russes qui ont participé à la Deuxième Guerre mondiale dans les régiments SS, Krassnoff est devenu général de l'armée de Pinochet, avant d'être emprisonné à Santiago pour sa participation à la répression et à la torture pendant la dictature militaire. Et Belmonte a de bons motifs de haïr ""le cosaque', des motifs très personnels. De la Russie de Trotski au Chili de Pinochet, de l'Allemagne d'Hitler à la Patagonie d'aujourd'hui, La Fin de l'histoire traverse le XXe siècle tout entier."
172,Mort étrange sur un bateau remontant le Nil ,L. C. Tyler, 
173,Au temps du fleuve Amour ,Andreï Makine, 
174,Les Bourgeois ,Alice Ferney,"Ils sont Bourgeois de père en fils parce que c’est (aussi) leur patronyme. De la Première Guerre mondiale à nos jours, Alice Ferney explore les destinées des enfants de cette famille conservatrice, leurs aspirations et leurs engagements. Ils partagent des valeurs, le sens du devoir, ont fait carrière dans l’armée ou dans la marine, se sont voués aux affaires, à la médecine, au barreau... – acteurs de l’histoire nationale et de la légende de leur lignée. Par leur entremise, Alice Ferney revisite les grandes ou déshonorantes heures de notre passé : tout un siècle français passé au tamis du roman familial."
175,Réparer les vivants ,Maylis de Kerangal,"""Le cœur de Simon migrait dans un autre endroit du pays, ses reins, son foie et ses poumons gagnaient d'autres provinces, ils filaient vers d'autres corps."" Réparer les vivants est le roman d'une transplantation cardiaque. Telle une chanson de gestes, il tisse les présences et les espaces, les voix et les actes qui vont se relayer en vingt-quatre heures exactement. Roman de tension et de patience, d'accélérations paniques et de pauses méditatives, il trace une aventure métaphysique, à la fois collective et intime, où le cœur, au-delà de sa fonction organique, demeure le siège des affects et le symbole de l'amour."
176,Congo requiem ,Jean-Christophe Grangé, 
177,Par le vent pleuré ,Ron Rash,"Dans une petite ville paisible au cœur des Appalaches, la rivière vient de déposer sur la grève une poignée d'ossements, ayant appartenu à une jeune femme. Elle s'appelait Ligeia, et personne n'avait plus entendu parler d'elle depuis un demi-siècle. 1969 : le summer of love. Ligeia débarque de Floride avec l'insouciance et la sensualité de sa jeunesse, avide de plaisirs et de liberté. C'est l'époque des communautés hippies, du Vietnam, de la drogue, du sexe et du Grateful Dead. Deux frères, Bill et Eugene, qui vivent bien loin de ces révolutions, sous la coupe d'un grand-père tyrannique et conservateur, vont se laisser séduire par Ligeia la sirène et emporter dans le tourbillon des tentations. Le temps d'une saison, la jeune fille bouleversera de fond en comble leur relation, leur vision du monde, et scellera à jamais leur destin – avant de disparaître aussi subitement qu'elle était apparue. À son macabre retour, les deux frères vont devoir rendre des comptes au fantôme de leur passé, et à leur propre conscience, rejouant sur fond de paysages grandioses l'éternelle confrontation d'Abel et de Caïn. "" Rash est un conteur envoûtant, qui fait monter avec brio la tension entre le passé et le présent de l'histoire. Une histoire fondée sur le contrôle, le Mal et la nature même du pouvoir, celui de sauver comme celui de tuer. "" The Washington Post"
178,Les dieux du verdict ,Michael Connelly,"« Michael Connelly abat le marteau de la justice avec une puissance sans équivoque.» New York Times Après avoir perdu son élection au poste de procureur, l’avocat Mickey Haller est au plus bas. Son ex s’est éloignée de lui et sa fille ne lui parle plus-: elle lui reproche d’avoir fait libérer un alcoolique qui s’est aussitôt empressé de prendre le volant et de tuer une mère et sa fille. Mais un jour, il reçoit un texto de son assistante-: appelle-moi – 187. 187 étant le code pour «-meurtre-», Haller sait qu’il va devoir se remobiliser pour défendre l’accusé. Mais la victime, Gloria Dayton, est une ancienne prostituée que Mickey aimait beaucoup et qu’il pensait avoir aidée à rentrer dans le droit chemin. Découvrir qu’elle l’a dupé en continuant de se prostituer et imaginer que c’est peut-être lui qui l’a mise en danger le met rapidement sous pression. Sans compter que certains personnages qui devraient faire respecter la loi se montrent violents et malhonnêtes. Ils n’apprécient pas qu’Haller se mêle de leurs affaires.Hanté par les fantômes de son passé, l’avocat devra travailler sans relâche et user de tous ses talents pour résoudre l’affaire."
179,Norma ,Sofi Oksanen,"Le corps d’Anita Ross vient d’être retrouvé dans le métro de Helsinki. Les témoins sont unanimes : elle s’est jetée sur les rails. Norma, sa fille unique, refuse d’y croire. Anita ne l’aurait jamais laissée seule avec son secret : ses cheveux sont vivants, ils ressentent des émotions, s’animent et poussent si vite qu’elle est obligée de les couper plusieurs fois par jour. Prête à tout pour connaître la vérité, Norma décide de retracer les derniers jours de sa mère, allant jusqu’à se faire embaucher dans le salon de coiffure où elle travaillait. Ses découvertes font ressurgir un passé trouble qui n’est pas sans susciter l’attention d’un puissant clan de la mafia locale... « Accrochez-vous, c’est le meilleur roman que vous lirez cette saison ! » Femina « Décidément, Sofi Oksanen sait nous surprendre ! » Helsingin Sanomat Traduit du finnois par Sébastien Cagnoli"
180,Liaisons secrètes ,Patricia Wentworth,"Une dame de compagnie injustement accusée doit braver tous les dangers pour prouver son innocence : un classique inédit de la reine du suspense romantique Patricia Wentworth Lorsque Shirley Dale, dame de compagnie de la rabat-joie Mrs. Huddleston, est accusée de voler les bijoux de son employeur, elle panique et prend la fuite, par peur que personne ne croie en son innocence. Mais si elle est bien innocente, qui essaie de la faire accuser et pourquoi ?"
181,Suisen ,Aki Shimazaki, 
182,Un cri sous la glace ,Camilla Grebe,"AVEZ-VOUS DÉJÀ PERDU LA TÊTE PAR AMØUR ? Emma, jeune Suédoise, cache un secret : son patron Jesper, qui dirige un empire de mode, lui a demandé sa main. Mais il ne veut surtout pas qu’elle ébruite la nouvelle. Deux mois plus tard, Jesper disparaît sans laisser de traces et l’on retrouve dans sa superbe maison le cadavre d’une femme, la tête tranchée. Personne ne parvient à l’identifier. Peter, policier émérite, et Hanne, profi leuse de talent, sont mis en tandem pour enquêter. Seul problème, ils ne se sont pas reparlé depuis leur rupture amoureuse dix ans plus tôt. Et Hanne a aussi un secret : elle vient d’apprendre que ses jours sont comptés. Dans un Stockholm envahi par la neige, un double récit étourdissant prend forme. Chaque personnage s’avère cacher des zones d’ombre. À qui donc se fier pour résoudre l’enquête ? « Un thriller captivant sur les aspects les plus sombres de l’amour. » Skånska Dagbladet « Un tour de force qui catapulte Camilla Grebe parmi les meilleurs auteurs de polars nordiques. » Kirkus"
183,Le crime du comte Neville ,Amélie Nothomb,« Ce qui est monstrueux n'est pas nécessairement indigne. » Amélie Nothomb
184,Moka ,Tatiana de Rosnay,"Ce qu'une mère est prête à faire par amour À 40 ans Justine mène une vie tranquille entre son mari et ses deux enfants. Mais son existence bascule lorsqu'un chauffard renverse son fils et prends la fuite à bord d'une voiture couleur moka. Grièvement blessé Malcolm sombre dans le coma. L'enquête piétine... La police, faute d'indices est prête à classer l'affaire. Seule contre tous – ou presque –, Justine veut découvrir la vérité. Aller jusqu'au bout, coûte que coûte, pour démasquer le coupable. Moka entraine le lecteur dans un étourdissant suspense psychologique."
185,Un appartement à Paris ,Guillaume Musso, 
186,Le diable est dans les détails ,Leïla Slimani,"« Leïla Slimani a reçu le prix Goncourt 2016 pour Chanson douce paru chez Gallimard. Remarquée dès son premier roman, Dans le jardin de l'Ogre, publié lui aussi chez Gallimard, Leïla Slimani a obtenu un immense succès de librairie. Ce livre-ci rassemble les textes qu'elle a écrits pour Le 1. Six petits bijoux, chacun doté d'une force qui impressionne, servis par une plume déliée, un regard tout en finesse, qu'il s'agisse de courtes nouvelles à la Tchekhov - Le diable est dans les détails - ou de textes engagés : ainsi Intégristes je vous hais, rédigé dans l'urgence et la rage au lendemain des attentats du 13 novembre 2015. Nous vous proposons ainsi de mieux connaître les multiples facettes d'une jeune auteure dont la voix n'a pas fini de nous interpeller, tantôt par un murmure, tantôt par un cri. » Éric Fottorino, Directeur de l'hebdomadaire Le 1 Née à Rabat en 1981, Leïla Slimani est arrivée à Paris à l'âge de 18 ans. Après des études à Sciences Po, elle devient journaliste à Jeune Afrique. Son premier roman, Dans le jardin de l'ogre, est paru chez Gallimard en 2014. Deux ans plus tard, elle publie chez le même éditeur Chanson douce, qui a reçu le prix Goncourt."
187,L'insouciance ,Karine Tuil, 
188,Les nouveaux amants ,Alexandre Jardin,"Un homme rencontre une femme. L’homme ? Oscar, 42 ans, marié avec une actrice, Anne. Auteur de théâtre à succès, cet homme comblé ignore, au début du roman, qu’il va vivre – et non plus seulement écrire - la pièce la plus turbulente de sa vie. Ce sera, pour lui, une comédie risquée, une anthologie de douleurs, une foire aux ivresses, un malheur merveilleux... La femme ? Ce n’est pas son épouse, bien sûr. Elle se nomme Roses de Tonnerre, 25 ans, une fille très « fête en larmes », une orgie de contradictions, un merveilleux danger. Cette Roses ne respecte que l’imprévu et les jeux sans règles. Elle est, de plus, sexuellement très curieuse et d’un haut voltage sensuel... Oscar + Roses : un mélange explosif et charmant. Leurs questions : un couple peut-il s’acclimater à la passion ? Faut-il tout essayer en amour? Est-il recommandé de rompre et de se soumettre plusieurs fois par jour ? Ces deux héros super jardiniens, pour notre plaisir, ne sont pas très encombrés de prudence ni de sagesse. Confondant sans cesse freins et accélérateurs, ils sont toqués de désirs incontrôlés. Leurs frasques vont faire sourire et rire. On les envie, on les plaint, on les envie. Qu’a donc vécu Alexandre Jardin pour écrire ce roman fou-fou-fou à ce moment précis de sa vie ? Qui est cette Roses ? Qui est Anne ? Qui perdra quoi au fil de cette tragi-comédie si singulière, si universelle ? On entend les trois coups. La pièce peut commencer."
189,Premières neiges sur Pondichéry ,Hubert Haddad,"Violoniste virtuose, fervent de musique kleizmer autant que du répertoire classique, Hochéa Meintzel accepte l’invitation d’un festival de musique carnatique à Chennai, en Inde du Sud. Blessé dans sa chair par un attentat, c’est avec l’intention de ne plus revenir qu’il quitte Jérusalem. Comme aimanté par les circonstances, après une cahotante équipée qui le mène de Pondichéry à la côte de Malabar, en passant par un ranch de montagne aux frontières du Kerala, il trouve refuge à Fort Cochin, un soir de tempête, au sein de l’antique synagogue bleue. Parce que la grande prière exige un minyan, quorum de dix fidèles, ceux qui sont encore là supplient Hochéa d’être des leurs. Avec la promesse de lui raconter l’histoire ancestrale des juifs de Kochi... Porté par les figures de Samra, sa fille adoptive, et de Mutuswami, la jeune musicienne qui le guide et l’accompagne, Hochéa s’en remet à un enchaînement de hasards, quitte à affronter une part occultée de sa vie – et l’intuition d’un autre monde, d’une autre histoire, d’un autre exil. En un tour de force romanesque, Premières neiges sur Pondichéry nous plonge dans un univers sensoriel extrême, exubérant, heurté, entêtant, à travers le prisme d’un homme qui porte en lui toutes les musiques du monde, et accueille l’inexorable beauté de tous ses sens. Auteur d’une œuvre considérable, Hubert Haddad nous implique magnifiquement dans son engagement d’intellectuel et d’artiste, avec des titres comme Palestine (Prix Renaudot Poche, Prix des cinq continents de la Francophonie), les deux volumes foisonnants du Nouveau Magasin d’écriture ou le très remarqué Peintre d’éventail (Prix Louis Guilloux, Grand Prix SGDL de littérature pour l’ensemble de l’œuvre)."
190,Marx et la poupée ,Maryam Madjidi,"Depuis le ventre de sa mère, Maryam vit de front les premières heures de la révolution iranienne. Six ans plus tard, elle rejoint avec sa mère, son père en exil à Paris. A travers les souvenirs de ses premières années, Maryam raconte l'abandon du pays, l'éloignement de sa famille, la perte de ses jouets – donnés aux enfants de Téhéran –, l'oubli progressif du persan au profit du français, qu'elle va tour à tour rejeter, puis adopter frénétiquement."
191,Des âmes simples ,Pierre Adrian,"Des âmes simples est le deuxième livre de Pierre Adrian, lauréat du prix des Deux Magots et du prix François Mauriac de l'Académie française pour son premier livre, La Piste Pasolini. Un récit bouleversant à l'écoute des vies minuscules, des ténèbres et de la désespérance d'une époque. "" Ce qui repousse les caméras m'attire. Ceux qui trébuchent, ceux qu'on ne voit pas. J'aime le fond de la classe. Le saccage et le sursaut, la poudrière, le foutoir, la beauté, les rêveurs : tout est au fond, chez les invisibles. Au fond des vallées. Cette leçon, je l'apprendrai aux côtés de frère Pierre. En citant saint Paul, il me dira que la véritable sagesse n'est pas celle du monde : ""Si quelqu'un pense être sage à la manière d'ici-bas, qu'il devienne fou pour être sage"". "" Au cœur d'une vallée, aux confins de la France, un homme tient là seul par sa foi. Au plus près des vies minuscules – les bergers et les bêtes, les paumés et les vagabonds célestes –, il accueille les histoires murmurées, les hommes en perdition. Les croyants et ceux qui ne croient pas. Parce qu'"" on ne peut plus faire comme si les gens avaient la foi. "" Pour lui, cela importe peu. Jour et nuit, son portable sonne. Il accourt. D'une plume taillée à la serpe, Pierre Adrian nous offre un récit éblouissant, à l'écoute des ténèbres et de la désespérance d'une époque. Pierre Adrian a obtenu le Prix des Deux-Magots et le prix François Mauriac de l'Académie française en 2016 pour son premier livre, La Piste Pasolini."
192,La vie automatique ,Christian Oster, 
193,Trois saisons d'orage ,Cécile Coulon, 
194,Chronique d'une fin de règne ,Patrick Rambaud,"« Le Prince s’aperçut que le pouvoir était une maladie mortelle. La flèche du comte Macron était empoisonnée et il sentit ses os se refroidir. Dans son bureau, François l’Hésitant songeait à son destin. Puis il rédigea le discours qu’il devait prononcer aux fenestrons le soir même. Pour dire quoi ? » Rien ne va plus au royaume de France : le duc d’Évry bouillonne, Nicolas le Flambard ne s’est jamais résolu à la perte du Trône, le duc de Cherbourg recherche un dangereux Abdelkader Youssouf Cruchon, mademoiselle de Montretout se cache et ne montre plus ses dents... 2016, année difficile. Entre House of Cards et Game of Thrones, il nous reste la chronique facétieuse, hilarante, terrible, d’un règne qu’on espère vite oublier. C’est compter sans le talent de Patrick Rambaud. Rire ? Oui, mais de tout, Majesté !"
195,Le grand combat ,Ta-Nehisi Coates, 
196,L'homme est un dieu en ruine ,Kate Atkinson,"Teddy a vingt ans lorsqu’il s’enrôle en 1940 comme pilote de bombardier. Vite promu commandant d’Halifax, lui et son équipage vont connaître quatre années d’horreur et d’héroïsme où chaque mission risque d’être la dernière. Il va pourtant vivre jusqu’à plus de quatre-vingt-dix ans sans jamais complètement accepter l’idée d’avoir survécu et avec une obsession : ne plus faire de mal à personne. Le formidable pilote va donc épouser celle qui l’attendait, devenir père puis grand-père tout en se frayant un chemin au milieu des périls et des progrès du xxe siècle. Mélangeant les genres avec maestria : roman de guerre et roman sociétal, passant avec virtuosité du futur au passé, des larmes aux rires, Kate Atkinson signe un roman éblouissant où l’ambition littéraire n’altère jamais l’empathie de l’auteur pour ses inoubliables personnages. Traduit de l’anglais par Sophie Aslanides"
197,Les vies de papier ,Rabih Alameddine, 
198,Trois petits cochons ,Paul Faucher, 
199,Le sang du monstre ,Ali Land, 
200,Ta deuxième vie commence quand tu comprends que tu n'en as qu'une ,Raphaëlle Giordano,"- Vous souffrez probablement d'une forme de routinite aiguë. - Une quoi ? - Une routinite aiguë. C'est une affection de l'âme qui touche de plus en plus de gens dans le monde, surtout en Occident. Les symptômes sont presque toujours les mêmes : baisse de motivation, morosité chronique, perte de repères et de sens, difficulté à être heureux malgré une opulence de biens matériels, désenchantement, lassitude... - Mais... Comment vous savez tout ça ? - Je suis routinologue. - Routino-quoi ? Camille, trente-huit ans et quart, a tout, semble-t-il, pour être heureuse. Alors pourquoi a-t-elle l'impression que le bonheur lui a glissé entre les doigts ? Tout ce qu'elle veut, c'est retrouver le chemin de la joie et de l'épanouissement. Quand Claude, routinologue, lui propose un accompagnement original pour l'y aider, elle n'hésite pas longtemps : elle fonce. À travers des expériences étonnantes, créatives et riches de sens, elle va, pas à pas, transformer sa vie et repartir à la conquête de ses rêves..."
201,"Deux ans, huit mois et vingt-huit nuits ",Salman Rushdie, 
202,Les filles des autres ,Amy Gentry, 
203,Le coma des mortels ,Maxime Chattam, 
204,Beauté ,Philippe Sollers, 
205,La nostalgie heureuse ,Amélie Nothomb, 
206,Rien ne s'oppose à la nuit ,Delphine de Vigan, 
207,Point cardinal ,Léonor de Récondo,"Sur le parking d’un supermarché, dans une petite ville de province, une femme se démaquille. Enlever sa perruque, sa robe de soie, rouler ses bas sur ses chevilles : ses gestes ressemblent à un arrachement. Bientôt, celle qui, à peine une heure auparavant, dansait à corps perdu sera devenue méconnaissable. Laurent, en tenue de sport, a remis de l’ordre dans sa voiture. Il s’apprête à rejoindre femme et enfants pour le dîner. Avec Solange, rencontrée au lycée, la complicité a été immédiate. Laurent s’est longtemps abandonné à leur bonheur calme. Sa vie bascule quand, à la faveur de trois jours solitaires, il se travestit pour la première fois dans le foyer qu’ils ont bâti ensemble. À son retour, Solange trouve un cheveu blond... Léonor de Récondo va alors suivre ses personnages sur le chemin d’une transformation radicale. Car la découverte de Solange conforte Laurent dans sa certitude : il est une femme. Reste à convaincre ceux qu’il aime de l’accepter. La détermination de Laurent, le désarroi de Solange, les réactions contrastées des enfants – Claire a treize ans, Thomas seize –, l’incrédulité des collègues de travail : l’écrivain accompagne au plus près de leurs émotions ceux dont la vie est bouleversée. Avec des phrases limpides et d’une poignante justesse, elle trace le difficile parcours d’un être dont toute l’énergie est tendue vers la lumière. Par-delà le sujet singulier du changement de sexe, Léonor de Récondo écrit un grand roman sur le courage d’être soi."
208,La valse des arbres et du ciel ,Jean-Michel Guenassia,"Auvers-sur-Oise, été 1890. Marguerite Gachet est une jeune fille qui étouffe dans le carcan imposé aux femmes de cette fin de siècle. Elle sera le dernier amour de Van Gogh. Leur rencontre va bouleverser définitivement leurs vies. Jean-Michel Guenassia nous révèle une version stupéfiante de ces derniers jours. Et si le docteur Gachet n'avait pas été l'ami fidèle des impressionnistes mais plutôt un opportuniste cupide et vaniteux ? Et si sa fille avait été une personne trop passionnée et trop amoureuse ? Et si Van Gogh ne s'était pas suicidé ? Et si une partie de ses toiles exposées à Orsay étaient des faux ?... Autant de questions passionnantes que Jean-Michel Guenassia aborde au regard des plus récentes découvertes sur la vie de l'artiste. Il trouve des réponses insoupçonnées, qu'il nous transmet avec la puissance romanesque et la vérité documentaire qu'on lui connaît depuis Le Club des incorrigibles optimistes."
209,En pays conquis ,Thomas Bronnec, 
210,Tant que dure ta colère ,Åsa Larsson, 
211,L'étranger ,Albert Camus, 
212,De tes nouvelles ,Agnès Ledig, 
213,À l'ombre du diable ,Andrea H. Japp, 
214,Règne animal ,Jean-Baptiste Del Amo,"'Il croit avoir dispensé aux fils une éducation ferme et juste, ne tolérant ni la mollesse, ni la lâcheté, ces défauts impardonnables chez un homme. Il conçoit une fierté secrète à avoir élevé seul ces deux gars. Peut-il pour autant être assuré de leur dévotion, de leur fidélité, de leur ambition ? Désormais que les fils sont adultes, peut-il se féliciter d’être parvenu à leur transmettre autre chose qu’une propriété : cette conviction, cette foi en la terre?'"
215,Une femme au téléphone ,Carole Fives, 
216,Cette terre promise ,Erich Maria Remarque, 
217,L'insoumise de la porte de Flandre ,Fouad Laroui, 
218,Fin de ronde ,Stephen King, 
219,La chimiste ,Stephenie Meyer, 
220,Les disparus du phare ,Peter May, 
221,La sonate à Bridgetower ,Emmanuel Dongala,"En 1789 débarque à Paris le violoniste prodige George Bridgetower, neuf ans, accompagné de son père qui le rêve en Mozart. Fils d'un Nègre de la Barbade et d'une Polonaise, élève de Haydn, le garçon démarre une carrière qui se poursuivra bientôt en Angleterre et l'amènera à devenir ami avec Beethoven qui lui écrira une de ses plus belles sonates. Un roman avec pour toile de fond la condition des Noirs qui mêle aux bouleversements politiques et sociaux suscités par les idées des Lumières ceux du monde de la musique et des sciences."
222,Famille parfaite ,Lisa Gardner, 
223,Une très légère oscillation ,Sylvain Tesson,"Tout au long de ses périples, la géographie de l'auteur est vaste : elle s'étend de Paris à l'Ukraine en passant par la Russie et bien d'autres pays. Il y a les expéditions et les voyages intérieurs, les bivouacs d'un soir et les méditations d'un jour, mais aussi les escalades des parois et les descentes au fond des livres. Entre les mots se dessine l'écriture d'un destin. Alors que son dernier livre Sur les chemins noirs raconte son voyage du sud de la France au Cotentin, Une très légère oscillation est un miroir le long d'autres chemins."
224,La dame de Zagreb ,Philip Kerr, 
225,Dompteur d'anges ,Claire Favan, 
